epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.321621060371399,0.48141661286354065,0:31:52.365436,0.6669617159098074,0.31807119867399053,0.35235980651019094,0.4164320376908323,0.42602606808340715,0.43502860268314847,0.004255761555681326,0.004339387991194067,0.04872981395788082,0.06113262190323292,0:06:57.831456
2,1.2779597043991089,0.5039228796958923,0:31:50.472788,0.6698571654006593,0.31957290207409234,0.35368565045056716,0.418643601108589,0.4267295887562117,0.4355494784584498,0.0042628771034053945,0.004344360967512105,0.04926496049359398,0.061541851607013566,0:07:43.728277
3,1.2631851434707642,0.5116962194442749,0:31:48.459778,0.6733712414379217,0.32060589616634905,0.3553882700022096,0.4207199401086134,0.42591782444986703,0.4349374058183801,0.004254928253637792,0.004338043453052315,0.04948531494947587,0.06147889319104732,0:07:52.095897
4,1.2538199424743652,0.51658034324646,0:31:56.335131,0.6733127658069102,0.32031069769853454,0.3548658441603469,0.42029475732385446,0.42673616578080203,0.4354259882662622,0.004263918766185617,0.004343739153932768,0.04928070009758555,0.06127427833915699,0:08:11.446099
