epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.175866723060608,0.5548192858695984,0:15:01.369869,0.6561613794362908,0.2066600831885903,0.20310414042296895,0.27928163168124914,0.4375559674029514,0.43715013596537156,0.004374734905112622,0.00437414306521062,0.15034338608539863,0.16064496864735742,0:26:18.683360
2,1.1062957048416138,0.5742736458778381,0:14:55.656256,0.6596370656896033,0.19866038987804546,0.18665737123279982,0.2705386907242096,0.4348106027813471,0.4323715826863704,0.004349888938251472,0.004323520477951858,0.15183636906539266,0.16169005673335324,0:26:17.609758
3,1.090185284614563,0.5813169479370117,0:15:09.502434,0.6667472787206974,0.22052214248361568,0.22833113301222163,0.29611542927415013,0.4269113762650263,0.43107857913963477,0.00427197083110268,0.004314748830517394,0.15138847417139445,0.16169005673335324,0:27:27.940036
4,1.089828610420227,0.5816929936408997,0:15:06.940650,0.6544076017535425,0.20630668434591623,0.19883040023567455,0.27577331574591424,0.43444413550399535,0.4346572118718838,0.004340725997929868,0.004338465183114279,0.1492982979994028,0.16154075843535384,0:31:16.395056
5,1.0927659273147583,0.58078932762146,0:15:08.319614,0.6331452005955523,0.18312993056613575,0.17235200272126389,0.24964263721804267,0.4328665874303905,0.43380543724786924,0.004325052454693122,0.004336547941994327,0.1554195282173783,0.16378023290534488,0:30:30.135622
6,1.0910933017730713,0.581977367401123,0:15:08.893422,0.6188250468314977,0.1726573204257443,0.1587629237315838,0.23690637399336956,0.4316691222761194,0.43364429803294685,0.004316023241227077,0.00433570328053623,0.15556882651537773,0.16452672439534188,0:32:15.211034
