epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.5796271562576294,0.28546541929244995,6:53:03.578563,0.652448935374572,0.23125713679342935,0.22485999615505572,0.3019412922697698,0.41403272734962254,0.42720282854277086,0.004121088266301237,0.004254269225845831,0.08614511794565542,0.12481337712750075,0:27:05.975531
2,1.4237241744995117,0.41278141736984253,6:53:04.604284,0.6632197225590163,0.23517558980275285,0.23491334740341252,0.30829161239242303,0.4036092727071354,0.41989026012392955,0.004034145254290941,0.004182949083908757,0.07629143027769483,0.11914004180352344,0:27:26.036460
3,1.337148904800415,0.4641750454902649,6:53:03.562367,0.6655500509828738,0.2360177538611076,0.22974624911334923,0.3077610138150762,0.4074397189436427,0.4214518456250461,0.004068890902198407,0.004206065497486798,0.07703792176769185,0.11869214690952523,0:27:30.977960
4,1.3025562763214111,0.48312512040138245,6:53:08.149856,0.6587319494828264,0.23038358778910972,0.2240591296842322,0.2959680142211295,0.41137305028231397,0.42292197822424255,0.004104652417255498,0.0042167028077067775,0.07823230815168707,0.11809495371752762,0:27:49.678423
5,1.2856173515319824,0.4918196201324463,6:53:08.282771,0.6537887375600413,0.2271742607596227,0.21994655994531265,0.2887190339282081,0.4178122582458942,0.42543392263840973,0.004171360182435599,0.004250392312000292,0.07853090474768587,0.11794565541952821,0:27:41.918864
