epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.0996016263961792,0.5822806358337402,"2 days, 19:15:13.595370",0.6580183199719051,0.2356403749921996,0.23849004120287934,0.3082851038710922,0.41053979813655417,0.4232031419508544,0.004097654148689389,0.004218280426400171,0.16109286354135563,0.16721409375933113,0:25:52.047671
2,1.0692353248596191,0.5954955220222473,"2 days, 18:56:32.186820",0.6656080048859574,0.2301253111505942,0.2321411698844204,0.3086341581291414,0.41242107653632704,0.42353367346201304,0.004117122654116157,0.0042219679810094595,0.16094356524335623,0.16781128695132874,0:26:03.100388
3,1.0560262203216553,0.6005128622055054,"2 days, 18:59:40.974196",0.6547698868779704,0.22215663038964584,0.21929971425485312,0.29241721238424334,0.41743722366751324,0.4268051711335929,0.004168869604800849,0.004255015381993424,0.16213795162735145,0.16810988354732756,0:26:04.723699
4,1.0483227968215942,0.603670597076416,"2 days, 18:59:33.435557",0.6438615899386425,0.21826940609662165,0.21466965259686727,0.284184234361663,0.4166653924972155,0.42734586665310403,0.004160064912761981,0.004259835434901617,0.16183935503135263,0.16781128695132874,0:26:10.643462
