epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.065091848373413,0.5906143188476562,3:31:20.964207,0.5765072463104981,0.174467837401726,0.16351283405356895,0.23013270932584298,0.4334577064961754,0.44017329910905173,0.004328589627555514,0.004389831553798108,0.15987460815047022,0.167636960740409,0:45:04.731758
2,1.0074608325958252,0.6139184236526489,3:31:21.416512,0.5705743042171577,0.16711069437107584,0.15378058646509857,0.21970940334583566,0.4388054339817728,0.4405509635595375,0.004384596336906961,0.004398654895655128,0.15957605612778025,0.1664427526496492,0:45:14.855280
3,0.9898412227630615,0.6203095316886902,3:31:23.291501,0.5826153155028045,0.1788694296334066,0.17112155589007857,0.2315000291554478,0.4403583611567817,0.4431363525540349,0.00439785058916195,0.004423429337697267,0.15748619196895058,0.16539782057023436,0:45:15.957685
4,0.979808509349823,0.62420254945755,3:31:19.155104,0.5792646663556583,0.18143253901834966,0.1757252785581985,0.23468607696390043,0.4403932982565714,0.44297872827065965,0.004398633113760677,0.004421726381826194,0.15718763994626064,0.16539782057023436,0:45:10.100435
