epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.343065857887268,0.45382729172706604,"2 days, 17:53:18.574862",0.6888580319870151,0.2589414850821278,0.2726025401420896,0.34008712986674094,0.39378732326153454,0.4116929393309809,0.003926554032204981,0.004095988574353481,0.15527022991937892,0.1643774260973425,0:25:51.261144
2,1.2815237045288086,0.4889872372150421,"2 days, 17:53:08.239525",0.6839294288636381,0.24581076377372832,0.2596661246673648,0.32787293497537434,0.3973254088044421,0.4119336011463193,0.003966745323660374,0.0041030942198123956,0.15586742311137652,0.1643774260973425,0:26:30.169714
3,1.2489091157913208,0.5064679384231567,"2 days, 17:57:40.362684",0.685643460583165,0.244415577651181,0.25959519778561146,0.3271046766607056,0.4018242375159483,0.41507643308006564,0.004011870396759728,0.004137482543686441,0.15631531800537474,0.1643774260973425,0:26:30.412593
4,1.226340413093567,0.5184186100959778,"2 days, 18:14:18.363570",0.6779860640073654,0.23631141466714872,0.24827755292214262,0.31710495039606323,0.40938087537760737,0.41856351505873196,0.0040877837834072785,0.004174696137057544,0.15706180949537174,0.1651239175873395,0:25:59.746651
