epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.3612000942230225,0.4488348960876465,3:23:11.054063,0.6597060035409168,0.2162730694612422,0.21747070159946533,0.295922979992225,0.4091729935985521,0.42178848989384654,0.004076353655129748,0.004200498783281855,0.08300985368766796,0.12078232308151687,0:31:03.785975
2,1.2757140398025513,0.4967168867588043,3:23:13.447654,0.6496363372498817,0.23122244392843389,0.22509523152871985,0.2939842428441673,0.42011718748407445,0.42669108576708886,0.004195617222224274,0.00425975697930798,0.08569722305165721,0.12123021797551507,0:26:38.878937
3,1.2563414573669434,0.5059055089950562,3:23:13.311651,0.6409922867635489,0.2210221768001646,0.2153844823035938,0.2808152077712906,0.42460558621445144,0.4305974909415707,0.004245652124101323,0.004304995259488634,0.08704090773365183,0.12093162137951627,0:26:32.276917
4,1.2493178844451904,0.509086012840271,3:23:11.831288,0.6361606421770664,0.21439916216692761,0.20883414720455776,0.274404843423546,0.42825370536654706,0.43267332275948306,0.004278460551357575,0.004328744955062153,0.08689160943565244,0.11988653329352045,0:26:52.743829
5,1.2455674409866333,0.5099824666976929,3:23:12.105167,0.6342846745406847,0.2102293108833853,0.2061627062505542,0.2694352067948678,0.43054961389991464,0.43394601805690236,0.0043082128977590985,0.004343163558725503,0.08495073156166019,0.11958793669752164,0:26:46.399812
