epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.6091104745864868,0.20004555583000183,3:21:00.679487,0.5594761158876401,0.153422535146496,0.1418316710157214,0.20417744759952094,0.43098929672115727,0.4348138936939764,0.00430047843742274,0.004344601683013471,0.10719617796357121,0.14034040011943863,0:30:28.389322
2,1.6078647375106812,0.23763209581375122,3:20:49.938379,0.5808781785759087,0.1678787423722827,0.16390563325259552,0.22045025352159606,0.42732360223370386,0.43714283765130013,0.004258185004219448,0.0043587229226655375,0.10331442221558675,0.138250223947447,0:26:15.787944
3,1.6066060066223145,0.26320257782936096,3:21:07.840024,0.58702692491183,0.17279832668747622,0.16751421859911236,0.22934154058051917,0.42757005743344956,0.43716939959873186,0.004266994035815269,0.0043599384813661135,0.09898477157360407,0.13630934607345477,0:26:25.925965
4,1.6053802967071533,0.2760893404483795,3:21:06.862390,0.5902208287041254,0.17744711285130457,0.17037072802997338,0.23473659034180397,0.4263005050985572,0.43653269454145166,0.004256374507760981,0.004352989702926502,0.095998805613616,0.13466706479546134,0:26:26.985794
5,1.6040929555892944,0.2836295962333679,3:21:20.558878,0.5954995471036728,0.1798448347297835,0.1716636820556698,0.23777415226376555,0.4238594326048995,0.43530287689926445,0.004235955479271721,0.004341990927677506,0.09450582263362198,0.1328754852194685,0:26:26.901016
6,1.6027400493621826,0.28921741247177124,3:21:22.203920,0.6000659756592395,0.18519526906243675,0.1786635540357494,0.2419213559395762,0.42242036492886526,0.4342095829222877,0.004223336133466326,0.004331955415772824,0.09465512093162137,0.13093460734547627,0:26:26.687394
7,1.6013083457946777,0.2931442856788635,3:20:58.042590,0.6040920405684989,0.19329672591468136,0.1858806896972882,0.24901359405680268,0.42098050508310286,0.4336732260627746,0.004208683531814871,0.004324030590340512,0.09286354135562855,0.13093460734547627,0:26:45.018816
8,1.599740743637085,0.2964264154434204,3:20:51.362118,0.6059675444440784,0.19928113902338737,0.18962448088574807,0.2545408318064082,0.41930528363386804,0.433081761238475,0.004193330291394964,0.004317335026549375,0.09286354135562855,0.13033741415347866,0:26:34.641343
9,1.5980339050292969,0.2991988956928253,3:20:54.552179,0.6092802860350742,0.2012370533774773,0.19143203778165466,0.2583190252590448,0.4169405560240288,0.43205229343997004,0.004171074259585541,0.004306442850705133,0.09137055837563451,0.12974022096148105,0:26:51.562010
10,1.5961666107177734,0.3013053834438324,3:20:49.451829,0.6111423685715589,0.20406002441498644,0.19346358651472345,0.2612155133760374,0.4161496393656026,0.4313917647860672,0.004159429131728798,0.004300904268882608,0.0901761719916393,0.12914302776948342,0:27:02.097753
