epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.602472186088562,0.2662614583969116,3:26:24.978370,0.4324466844160816,0.12365961997954962,0.09786916315820693,0.14186860915809668,0.47204628724325354,0.4656925474473157,0.004718168020428925,0.0046537509685084626,0.11316810988354732,0.14153478650343387,0:34:11.752843
2,1.5771636962890625,0.3091973662376404,3:26:21.683701,0.5252768198647104,0.14574662818588435,0.12791137681331852,0.1837427211194171,0.45778992786864486,0.45671308610353867,0.004580215046745173,0.004567143163594509,0.10764407285756943,0.13944461033144223,0:28:54.330675
3,1.5179771184921265,0.3425184488296509,3:26:23.356425,0.6060679783789148,0.2142101994179272,0.20736491846767693,0.2664977903425969,0.43755062654905147,0.44434363893012085,0.0043686451640646915,0.004432640563518695,0.10689758136757241,0.13944461033144223,0:29:10.604603
4,1.4500467777252197,0.3939249813556671,3:26:23.417358,0.6338315889621008,0.22884035080752957,0.22698696841136679,0.28955368941441456,0.42664877981400606,0.43915107365671696,0.004249255325469842,0.004365734314468183,0.10406091370558376,0.13884741713944462,0:29:14.620243
5,1.4067045450210571,0.4243171215057373,3:25:01.062072,0.6391622896261643,0.22912524715935256,0.22744814814751027,0.29184995337721736,0.419091648965263,0.43596732751560385,0.004174298457064477,0.004337107519141133,0.10465810689758137,0.1385488205434458,0:29:21.950739
6,1.380959391593933,0.4389689862728119,3:25:05.067615,0.6388717850866927,0.2313979089534521,0.22820074660281353,0.29144876413228593,0.41926133097926904,0.43531225163217036,0.004177993221767691,0.004335493782602996,0.10391161540758435,0.13899671543744402,0:29:05.114398
7,1.3626816272735596,0.4496684968471527,3:25:05.205027,0.6364642411172783,0.2318704027850684,0.2274974665038314,0.2903957745270666,0.42154017198345495,0.4355924366355641,0.004205577099858205,0.00434313017920293,0.10540459838757839,0.1385488205434458,0:29:32.922206
