epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.321057915687561,0.4817129373550415,0:28:22.292897,0.6406858130750215,0.3101826962289259,0.3425625300568761,0.40572226580627274,0.43161466520840563,0.4408360741396873,0.004310843761063435,0.004396284526272562,0.047376208014606354,0.059857713979916266,0:09:02.146889
2,1.277672290802002,0.5039172172546387,0:28:57.902772,0.6520863799850143,0.3149593940088472,0.34897295666407274,0.412772417826107,0.4313111239466088,0.4406288296251053,0.004308269257075661,0.004394442668965608,0.047879875342336384,0.05990493279189096,0:08:53.865006
3,1.2635433673858643,0.5115246772766113,0:28:51.817096,0.6548110901714944,0.31750619236588085,0.35222601186351665,0.41581992103962484,0.43103158574266126,0.4404888002519212,0.004305380184850026,0.004392717840998819,0.04817892781817609,0.06004658922781503,0:07:45.386023
4,1.253517985343933,0.5163612365722656,0:29:00.600995,0.6566203026444744,0.3171437534270168,0.352182249445385,0.41578049583835913,0.43247354731207216,0.44121392072231236,0.004320945427414249,0.004401119302622252,0.047517864450530425,0.05960588031605125,0:08:10.353620
5,1.2465652227401733,0.5199779272079468,0:29:38.054055,0.6598910817633612,0.32175860595381767,0.3572311486249717,0.42059866668450874,0.4317705744746382,0.4407944511427077,0.004312500314911989,0.004395860138560084,0.048304844650108605,0.060802090219410077,0:08:32.623096
