epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.323578953742981,0.4806053340435028,0:20:49.397692,0.6633302734102714,0.3152819613000735,0.3489567647765083,0.4130880427378415,0.425255132512812,0.43468965911261365,0.004247766820565337,0.0043357688001389935,0.04868259514590613,0.06129001794314855,0:06:47.415486
2,1.280738115310669,0.5024377107620239,0:20:57.797525,0.6657621558791665,0.3166980809478368,0.35058646206730454,0.41575207312739987,0.4259177229085768,0.434981116229089,0.004254274193305192,0.004338328891196058,0.048698334749897695,0.06086504863537633,0:06:47.363281
3,1.265870451927185,0.5100604295730591,0:20:58.185139,0.6717485795847451,0.32054498300909107,0.3556514239896283,0.42043273194562963,0.4257331593266557,0.4349061306417781,0.004252817792945427,0.0043376076828193985,0.049107564453678344,0.06106966348726666,0:06:46.228409
4,1.2562744617462158,0.5151041150093079,0:20:48.345789,0.6723610246810524,0.3211097733540284,0.3564298368081379,0.421310137010765,0.42629502057924584,0.43533022829189777,0.004258860353298363,0.004342254016137491,0.049154783265653035,0.06132149715113168,0:07:47.171119
