epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.173088550567627,0.5561285614967346,0:10:00.030065,0.6688223219189149,0.19952986863744965,0.20392500210389045,0.2811240719157788,0.4253643203441855,0.42974032048639127,0.0042535495232812436,0.004295098070788048,0.1446700507614213,0.1587040907733652,0:25:35.562023
2,1.1082985401153564,0.5738105177879333,0:09:56.966962,0.6287649294530218,0.1811603161527117,0.16800148752342842,0.24152630788735574,0.4301031266271112,0.4325541463307224,0.00430291891772669,0.00432620831921062,0.14974619289340102,0.16049567034935802,0:27:48.002576
3,1.0884630680084229,0.5824288725852966,0:10:05.125070,0.6668035398826769,0.2219693741526402,0.2196747955584863,0.29465608058086623,0.43354770675000565,0.4348786675915299,0.004331101659801946,0.004343544686650051,0.15123917587339505,0.16183935503135263,0:29:43.501477
4,1.0915405750274658,0.581037163734436,0:10:04.272526,0.635653544006294,0.18591206903755886,0.17363169217791447,0.24838645124234468,0.4334086706572023,0.4333223496143939,0.004329830254423543,0.004332446880972631,0.1548223350253807,0.16392953120334428,0:29:40.235767
