epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,0.7640385627746582,0.679431140422821,0:12:37.012960,0.656384599629086,0.1872371620643949,0.1871572247846258,0.27563561238888157,0.41882937484342125,0.427142026584882,0.004187899130163214,0.004266870304391775,0.14422215586742312,0.1601970737533592,0:25:50.006413
2,0.7178876399993896,0.6948041319847107,0:12:55.272797,0.66046563566837,0.1891998393877169,0.18641093553367552,0.273718735253001,0.4271726380550177,0.4290150192385829,0.004272785680541882,0.004290456667068164,0.1546730367273813,0.16273514481934906,0:29:44.425349
3,0.7054779529571533,0.7012104988098145,0:12:55.767679,0.6417768932382364,0.17686161977385179,0.1619418881136198,0.24785073566204008,0.4296624049104966,0.4330914735961787,0.004295495235556364,0.004328607279427167,0.1548223350253807,0.16363093460734549,0:29:58.269638
4,0.7062339186668396,0.7003492712974548,0:12:57.832480,0.6473430380979438,0.18535408551131788,0.17629569570688966,0.2578087325824498,0.42829233121926397,0.4317475446614745,0.004286829457161081,0.004317502200852516,0.15332935204538667,0.16333233801134667,0:30:23.150163
5,0.7047383189201355,0.701413631439209,0:12:57.668827,0.6343754424015654,0.18576054784016202,0.17403320330460462,0.2475507403912698,0.4326270593950086,0.43530956144048305,0.0043227719110259695,0.0043510388813927285,0.1546730367273813,0.16392953120334428,0:27:41.001324
