epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.1882742643356323,0.5490826368331909,0:13:15.471713,0.6547440990820024,0.19759588961137808,0.1874554157547255,0.27116930415443724,0.4247485292427839,0.42985100452658753,0.004250762265211723,0.00429390315950963,0.15108987757539563,0.1607942669453568,0:26:03.069947
2,1.1034135818481445,0.576227068901062,0:13:16.122600,0.6413949668066556,0.1879425452659107,0.17097323833207906,0.25319465362888555,0.4329753089499175,0.43166946345810386,0.004327129213678762,0.004308611914631675,0.14198268139743206,0.15512093162137952,0:26:03.520503
3,1.0933542251586914,0.5813514590263367,0:13:16.036293,0.6559667093363286,0.2085744014133443,0.20025970370233764,0.2780449437941321,0.4228225303052191,0.43134723456912716,0.004227793737698734,0.004305683768828175,0.14452075246342191,0.1593012839653628,0:26:43.669342
4,1.0956610441207886,0.5811043977737427,0:13:23.445721,0.6313005660902965,0.19103759056185338,0.17966419971482728,0.2526206201983225,0.43100447351701543,0.4326578768346252,0.00430981092951167,0.004328170413962925,0.1494475962974022,0.16124216183935502,0:28:42.747346
5,1.0862829685211182,0.5851775407791138,0:13:17.366976,0.6590200438792313,0.2279109643220137,0.22200377396579338,0.29436262944052966,0.4339121896645607,0.43440582765203817,0.004342299819659619,0.0043415880165785,0.14974619289340102,0.16333233801134667,0:30:11.497368
