epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.9376503229141235,0.20103691518306732,3:26:46.553684,0.5914350859006628,0.17320171037410187,0.16245873378570486,0.2303479487968623,0.43309224469219176,0.4382878015518088,0.00432712513012032,0.004377158808793676,0.08972827709764108,0.1285458345774858,0:30:39.129746
2,1.9049766063690186,0.2435845285654068,3:26:43.342557,0.634480535307215,0.22190761701659265,0.21292704677631252,0.2852275468979011,0.4139377080142004,0.4303151017185781,0.004125467364652283,0.004284926250254245,0.085249328157659,0.12496267542550014,0:26:19.287565
3,1.8301312923431396,0.28086620569229126,3:26:38.668807,0.666855898336499,0.2388753777193326,0.2345842514837017,0.3164377530312812,0.40933986086699864,0.4201577177219479,0.0040773592054953196,0.004181235975581368,0.07882950134368469,0.1173484622275306,0:26:22.518005
4,1.754503846168518,0.3327929973602295,3:26:37.280238,0.6694460912284168,0.2429227707989858,0.2429518858636534,0.3180927721159216,0.4022944959366729,0.41750814085769405,0.004011934636738789,0.004154750167820404,0.07509704389369962,0.11600477754553598,0:26:29.844720
5,1.710119366645813,0.3577069938182831,3:26:39.017911,0.6664066404278758,0.23907378226032244,0.23870056527829928,0.31151970903778947,0.4036238679580145,0.4183364123955892,0.004032374169937602,0.004168711408769121,0.07479844729770081,0.11600477754553598,0:26:32.139413
6,1.6832683086395264,0.37079283595085144,3:26:39.310405,0.666997679934951,0.23933745510017962,0.23583068260464018,0.30942966885971174,0.4069738978783471,0.41998586637834984,0.004055800741337282,0.004182839679840366,0.07524634219169901,0.11690056733353239,0:26:32.257797
7,1.6659082174301147,0.37879252433776855,3:26:39.419547,0.6601695751396932,0.23906685033589428,0.23394175892530292,0.30138162666877394,0.4090117175556995,0.41980678341301864,0.00406102642448231,0.004179525823925145,0.07673932517169305,0.116751269035533,0:26:46.777454
