epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.1892027854919434,0.5479328632354736,0:13:49.910212,0.5030341426928556,0.15395530918155978,0.13421414382542896,0.18706334104568875,0.46116509434543435,0.4590422908648015,0.004610170307314296,0.0045894201195725804,0.1554195282173783,0.1648253209913407,0:29:30.633322
2,1.099550485610962,0.5775361657142639,0:13:51.711548,0.49860988477287893,0.14325291904174006,0.1252547049102128,0.17919559109839775,0.4597557846163832,0.4587350977539793,0.004596789337936815,0.004582239117081551,0.15332935204538667,0.1640788295013437,0:29:34.995674
3,1.0925005674362183,0.5806017518043518,0:13:51.049921,0.5043586039966952,0.15768696417038752,0.13765093794443334,0.18902456476099777,0.4598736717814095,0.45858255104303985,0.004596184680685942,0.004581452087590426,0.1545237384293819,0.1646760226933413,0:30:21.129991
4,1.0895862579345703,0.5826649069786072,0:13:59.938246,0.5110652648203451,0.16786550105155032,0.1532907007135032,0.2031528388297822,0.45914125341707046,0.4590121143798481,0.00459127359473875,0.004586907275372297,0.15288145715138848,0.16273514481934906,0:34:56.560571
