epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.2924913167953491,0.4907694458961487,5:07:38.615952,0.5934264734780698,0.29947862269123304,0.32543341577376006,0.37874333623891054,0.45773442336468384,0.4606954718152231,0.004572160135775849,0.004595666109715375,0.04251267038121321,0.053546132779299274,0:08:05.835613
2,1.2343357801437378,0.5202887654304504,5:07:31.471334,0.6017279580403528,0.30647776510410374,0.33357048251405114,0.38704626485717925,0.4572872793445307,0.46054951568055835,0.004567537808979584,0.004593456403250943,0.0432524317688167,0.05401832089904618,0:08:08.781577
3,1.2154942750930786,0.5296034216880798,5:07:30.809688,0.6052172677387344,0.30797728884707704,0.33539727524453355,0.3890969843904912,0.4574947763408462,0.46062820177466557,0.004569577056333682,0.004594706851632223,0.043472786224698585,0.05423867535492807,0:08:12.131984
4,1.2027390003204346,0.5358144044876099,5:07:34.304869,0.6095444328454757,0.31338579838409947,0.34195843363899764,0.3947906477338291,0.45674708142008125,0.4603804091246566,0.004561643573237428,0.004591535749339364,0.04432272484024302,0.054789561494632794,0:08:15.099093
5,1.1926995515823364,0.5408371686935425,5:07:40.731099,0.6128103581487585,0.31533103523546896,0.3444125275402136,0.3976578656222917,0.4566979871595213,0.4603495039405249,0.0045610120343633825,0.004591365678381146,0.045062486227846504,0.055230270406396574,0:08:22.624128
6,1.1834863424301147,0.5443831086158752,5:07:38.294789,0.6147339151680303,0.3144503063671287,0.3443720536810532,0.397521302608285,0.45599493403547114,0.460118161234669,0.004554261157622987,0.004589009338790041,0.04503100701986338,0.05519879119841345,0:08:19.279612
