epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.3212890625,0.4819554388523102,0:26:14.072584,0.6112145712612954,0.30266044504323997,0.33329368504340706,0.39054631999751127,0.44333402757996276,0.45334919882861674,0.004427543285303285,0.004520232454906515,0.04602260207133189,0.056363521893789154,0:08:01.924958
2,1.2780581712722778,0.5037760138511658,0:26:13.338749,0.623637309877482,0.3127556528013836,0.34557940696066314,0.40170018883128333,0.44297602757766535,0.4533029713182368,0.004423212192577556,0.004518435472729001,0.04687254068687632,0.05727641892529984,0:08:02.896752
3,1.2629225254058838,0.5116919875144958,0:26:11.168403,0.6229116779188839,0.3104099168944176,0.34305051094707534,0.40000128331534884,0.4442517981025591,0.45362676831139265,0.004437307399061441,0.004523358511991849,0.04654200900305348,0.056599615953662606,0:08:00.771855
4,1.2541015148162842,0.5164289474487305,0:26:28.802880,0.6212397881039318,0.3097723568359189,0.342342548227519,0.39948235297155704,0.44498882953907304,0.4538711696355958,0.004445612262282766,0.004526899193781575,0.04695123870683414,0.05683571001353606,0:09:41.305398
5,1.2463593482971191,0.520362377166748,0:28:00.635364,0.6223995239211473,0.3109889613028439,0.34332444635489273,0.4009340290680392,0.4454139405108164,0.4539877339194677,0.00444936511257462,0.0045282723186149,0.04691975949885101,0.05707180407340951,0:10:28.313959
