epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.3211928606033325,0.4816586673259735,0:28:47.661198,0.5820071913429752,0.2944966983687688,0.3189957337921098,0.37205423464135595,0.45738693354601173,0.4609595406677033,0.004567465953285949,0.00459821152389919,0.04344130701671546,0.05338873673938364,0:08:09.301528
2,1.2779369354248047,0.5041388869285583,0:28:49.830734,0.582728535752319,0.29581402456687284,0.32046622659933033,0.373602675433539,0.4574841337628387,0.46099788477367865,0.004568743708342328,0.004598428101071047,0.04370888028457204,0.053640570403248655,0:08:11.000412
3,1.2638986110687256,0.5111347436904907,0:28:50.165406,0.5907634692666426,0.300902842790786,0.3266950072509881,0.3802458170134325,0.4573611539654168,0.46089646024315767,0.004567333401644225,0.004597619246041731,0.04374035949255517,0.053593351591273965,0:08:17.001688
4,1.253981351852417,0.5165582299232483,0:29:10.286075,0.5912002142833767,0.3016784486682708,0.3277357959600578,0.3809947329555846,0.4571215268316034,0.4609207726730802,0.004565001009982586,0.004597609163085366,0.043771838700538294,0.053546132779299274,0:10:04.183048
