epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.321480393409729,0.4815981090068817,0:28:10.177087,0.5871317038209705,0.29923297339067323,0.3253987057241195,0.37717135283892533,0.4553388980597079,0.46030366897967023,0.004547029077740022,0.004590514105459505,0.04454307929612491,0.054097018919003995,0:07:59.346394
2,1.2781389951705933,0.5037888884544373,0:28:09.739782,0.5922278954996466,0.3014071772068059,0.3289011075301,0.3811589412364748,0.4544659807729435,0.4599144844822467,0.004538472035488019,0.004586642015953296,0.04452733969213334,0.054285894166902764,0:08:01.278595
3,1.2635236978530884,0.5112696886062622,0:28:06.815165,0.5901272703398119,0.2998205947392572,0.3263565807851005,0.37951090403146276,0.45528789132826714,0.46016485646969524,0.0045470236192663195,0.0045895382427075014,0.04449586048415022,0.054474769414801526,0:08:05.460582
4,1.2537846565246582,0.5163307785987854,0:28:16.712737,0.5934318884693364,0.30228180097454277,0.3298749833541632,0.3827477711017658,0.45505651482203113,0.4600674206635033,0.004544249577670276,0.004588552959824053,0.04418106840431895,0.05430163377089432,0:09:59.082189
