epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.3091140985488892,0.4867243766784668,9:13:56.890680,0.5997215247484632,0.30575283151392724,0.33449472519600343,0.3865748631943531,0.45413619454219356,0.4596782910064729,0.00453131344618033,0.0045809775192835744,0.04355148424465641,0.05397110208707149,0:08:08.196043
2,1.2745027542114258,0.5054643154144287,9:14:23.702241,0.6037920600728772,0.30829047303687857,0.33826266985875264,0.39041547118659853,0.45327252346423685,0.45941630298155384,0.004523571948591189,0.004578705192419597,0.04315799414486732,0.05365631000724022,0:08:00.618591
3,1.2617356777191162,0.5124489068984985,9:14:32.050557,0.6005863853165566,0.308736712362246,0.3365734474439458,0.39005895943186847,0.4549497458239033,0.45983246799072974,0.00454147912087141,0.004584401959906535,0.04334686939276608,0.054097018919003995,0:08:03.188655
4,1.253441572189331,0.5163680911064148,9:13:58.806484,0.5979839318395569,0.3084267989942641,0.33571807063919096,0.38901569903841343,0.45402034776835365,0.4596162854187849,0.0045309954655125585,0.0045805736681761335,0.04403941196839487,0.05475808228664967,0:08:02.996805
