epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.309239149093628,0.48660793900489807,9:29:59.256829,0.6034320056094946,0.30613042139319835,0.335808140570333,0.38844120182595043,0.45111212820775237,0.4586095679223863,0.004501141663125745,0.004569183377047596,0.043771838700538294,0.054396071394843704,0:07:56.665128
2,1.2742705345153809,0.5052800178527832,9:29:47.141355,0.601118559511849,0.30534666192779314,0.33398778760002923,0.38731262258458676,0.45249150396664234,0.458993745667293,0.0045157150459052,0.004574415128612064,0.04353574464066484,0.05431737337488589,0:07:57.359756
3,1.261515498161316,0.5120996832847595,9:30:21.846834,0.6117578343266361,0.31261740744483363,0.34314302137315267,0.39624483978975683,0.4520807232860369,0.4587662530314635,0.004513024330413623,0.004573139882674551,0.04479491295998993,0.05464790505870872,0:07:59.044698
4,1.2531225681304932,0.5166767239570618,9:30:40.688024,0.6087760037739651,0.3088951950813392,0.3393527744235401,0.3928894382734873,0.45156269542844707,0.4585974352986132,0.0045080426903858955,0.004570889069222736,0.04503100701986338,0.055025655554506246,0:08:04.377057
