epoch,train_loss,train_acc,train_duration,dev_AUC,dev_MRR,dev_nDCG5,dev_nDCG10,dev_ILD5,dev_ILD10,dev_RR_ILD5,dev_RR_ILD10,dev_COV5,dev_COV10,dev_duration
1,1.6024681329727173,0.265614777803421,3:16:13.973693,0.3878462042360066,0.10968980668370482,0.08221509804852886,0.12075990996400075,0.4763313664405804,0.4684126593640828,0.004762499830835801,0.004682088182340658,0.12137951627351448,0.15183636906539266,0:30:58.185760
2,1.57716703414917,0.3092330992221832,3:16:57.721794,0.41287359335143337,0.11366966547854854,0.0864126388468458,0.12852990027423464,0.47552596332865715,0.46779874612921885,0.004754346862779793,0.004675728142550954,0.11914004180352344,0.148999701403404,0:30:29.433031
3,1.5183863639831543,0.3418942093849182,3:21:00.752817,0.4637645445539162,0.12534305338031565,0.10091679544980295,0.15087966199261874,0.47272579322299707,0.4655118380214065,0.004726740556897284,0.004653417198006908,0.11421319796954314,0.14556584054941774,0:30:53.616801
4,1.4507237672805786,0.3933427035808563,3:26:24.073417,0.49972254864624105,0.145345809303357,0.12575605954913685,0.17932913072748857,0.4686130009296372,0.46365430094459853,0.004687165358906626,0.0046325408472510585,0.11033144222155868,0.14183338309943266,0:30:43.125355
5,1.4064631462097168,0.42450419068336487,3:26:24.057670,0.5152711156236355,0.15537271469028757,0.137765287381352,0.19305706428470845,0.4664081882506061,0.4627046729669903,0.004663089915373151,0.004620069118700553,0.10794266945356823,0.14048969841743805,0:30:38.187033
6,1.3808954954147339,0.43946340680122375,3:26:03.714999,0.5180853114835925,0.15928506052288513,0.14198334038410437,0.1972185166733724,0.4654567682462112,0.4623070336195312,0.004653534505095647,0.004615163229923434,0.10794266945356823,0.14048969841743805,0:30:48.814408
7,1.3632203340530396,0.4489385187625885,3:25:58.074513,0.5190324689662887,0.16200967278198586,0.14514620734762584,0.20015187613875646,0.4647995166367351,0.4620660728339917,0.004646526703766439,0.004612769105433799,0.10779337115556882,0.14004180352343984,0:30:56.451816
8,1.3514904975891113,0.4553644061088562,3:25:51.884561,0.5189424098990102,0.16308875011242735,0.14633372554340732,0.20100817303834934,0.46450228658330256,0.461973543232196,0.004642882766599945,0.0046117909641413294,0.10719617796357121,0.13944461033144223,0:30:54.364276
